URL,Title,Type,Date,Story
https://www.buletintv3.my/nasional/wartawan-dari-china-pilih-nasi-kandar-juadah-makan-tengah-hari/,[VIDEO] Wartawan dari China pilih nasi kandar juadah makan tengah hari,NASIONAL,"16 April 2025, 02:36PM","KUALA LUMPUR: Sekumpulan wartawan dari China yang membuat liputan lawatan Presiden Xi Jinping di Malaysia, memilih nasi kandar sebagai hidangan makan tengah hari mereka.
Ada juga dalam kalangan wartawan berkenaan tidak melepaskan kesempatan untuk menjamah hidangan popular rakyat Malaysia itu bagi ‘merawat’ kerinduan, apabila pernah melanjutkan pengajian di sebuah universiti awam tempatan.
Menurut Liang Liang atau nama Melayunya Husna, kesempatan itu diambilnya bersama teman yang lain sebelum menghadiri sesi wawancara dengan Perdana Menteri, Datuk Seri Anwar Ibrahim di Putrajaya.
“Kami media dari China. Kami akan membuat liputan di Putrajaya dan memilih makan nasi kandar di sini, untuk membawa kenangan pulang ke negara (China),” katanya menerusi video yang dimuatnaik di akaun TikToknya hari ini.
Dalam video berdurasi satu minit 57 saat itu, Husna bersama empat wartawan dari China dilihat tidak canggung atau saling tak tumpah seperti orang tempatan apabila memesan hidangan itu dalam bahasa Melayu.
Pelbagai lauk kelihatan dalam pinggan masing-masing dengan nasi ‘dibanjiri’ dengan kuah campur.
Antara lauk yang mereka pilih adalah sotong, rendang dan ayam goreng.
Selain nasi kandar, ada wartawan dari republik berkenaan juga memesan minuman yang sinonim dengan rakyat Malaysia iaitu sirap ais.
Tidak kurang juga hidangan itu menjadi pengubat detik seorang dari wartawan yang pernah menuntut di Universiti Putra Malaysia (UPM) pada 2006.
“Semuanya (wartawan dari China) bercakap bahasa (Melayu) dan order (memesan) hidangan Malaysia.
“Kumpulan wartawan China yang bercakap bahasa Melayu dah sampai Putrajaya untuk wawancara dengan PM (Perdana Menteri).
“Kena hati-hati ketika makan. Jangan kotorkan suit (sut),” kata Husna yang juga pensyarah bahasa Malaysia di Yunnan Minzu University.
Ikuti sekarang! WhatsApp Channel rasmi Buletin TV3 untuk berita terkini setiap masa."
https://www.buletintv3.my/nasional/sultan-ibrahim-yakin-malaysia-china-perkasa-kerjasama/,Sultan Ibrahim yakin Malaysia-China perkasa kerjasama,NASIONAL,"16 April 2025, 02:15PM","KUALA LUMPUR: Yang di-Pertuan Agong Sultan Ibrahim percaya Malaysia dan China akan terus memperkasakan kerjasama kedua-dua negara, walaupun wujud pelbagai jurang geopolitik seantero dunia.
Titah Baginda, Malaysia menitikberatkan integrasi ekonomi lebih mendalam, pengukuhan kolaborasi rantaian bekalan dan perindustrian, peningkatan ketersambungan, serta menegakkan prinsip hormat dan manfaat bersama dalam penglibatan dengan semua rakan kongsi, termasuk China.
“Saya percaya terdapat potensi besar untuk syarikat dan pelabur China untuk meneroka peluang di sini kerana ia selari dengan kepentingan ketersambungan serantau dan pembangunan berkualiti tinggi di bawah Inisiatif ‘Belt and Road’ oleh China.
“Dengan insentif strategik yang kukuh serta lokasi yang baik, Hab Kewangan Khas Forest City di dalam Zon Ekonomi Khas Johor-Singapura (JS-SEZ) telah muncul sebagai antara lokasi pelaburan utama rantau ini,” titah Sultan Ibrahim yang dimuatnaik di Facebook Sultan Ibrahim Sultan Iskandar.
Baginda bertitah demikian ketika berucap pada pertemuan bersama Presiden China, Xi Jinping di Istana Negara hari ini sempena lawatan negara ke Malaysia.
Sultan Ibrahim turut berkenan menjemput Kerajaan China untuk mempromosikan pertukaran bahasa antara kedua-dua negara.
“Jumlah pertukaran pelajar antara negara kita telah meningkat dan kita berhasrat untuk menghantar lebih ramai lagi penuntut kita ke China untuk bertukar ilmu kebudayaan seiring dengan pembelajaran mereka.
“Saya percaya bahasa adalah jambatan penting dalam mengukuhkan hubungan dua hala. Ke arah ini, saya berhasrat untuk giat mempromosikan Kursi Pengajian Melayu Sultan Ibrahim di Beijing Foreign Studies University (BFSU),” titah Baginda.
Ikuti sekarang! WhatsApp Channel rasmi Buletin TV3 untuk berita terkini setiap masa."
https://www.buletintv3.my/nasional/presiden-china-xi-jinping-diberi-sambutan-negara-di-istana-negara/,Presiden China Xi Jinping diberi sambutan negara di Istana Negara,NASIONAL,"16 April 2025, 02:07PM","KUALA LUMPUR: Yang di-Pertuan Agong, Sultan Ibrahim menyambut ketibaan Presiden China, Xi Jinping di Istana Negara sempena lawatan negara tiga hari Jinping ke Malaysia yang bermula semalam.
Jinping diberi sambutan negara dan tiba di Istana Negara jam 10.30 pagi.
Turut hadir, Perdana Menteri, Datuk Seri Anwar Ibrahim serta kedua-dua Timbalan Perdana Menteri, Datuk Seri Ahmad Zahid Hamidi dan Datuk Seri Fadillah Yusof serta menteri-menteri Kabinet.
Istiadat dimulakan dengan persembahan lagu kebangsaan kedua-dua negara disusuli tembakan 21 das Meriam.
Ia disusuli dengan pemeriksaan Kawalan Kehormatan Utama membabitkan empat pegawai dan 103 anggota lain-lain pangkat daripada Batalion Pertama Rejimen Askar Melayu Diraja (RAMD) Kem Perdana Sungai Besi.
Jinping bersama delegasi turut diraikan pada Majlis Jamuan Negara.
Lawatan negara itu adalah sebahagian daripada siri Lawatan Negara pertama Jinping tahun ini yang turut melibatkan Vietnam dan Kemboja.
Malaysia dan China telah menjalinkan hubungan diplomatik pada 31 Mei 1974.
Kedua-dua negara meraikan ulang tahun ke-50 hubungan diplomatik tahun lalu.
Ikuti sekarang! WhatsApp Channel rasmi Buletin TV3 untuk berita terkini setiap masa."
https://www.buletintv3.my/nasional/anggota-polis-tak-hadir-bertugas-ditemui-meninggal-di-rumah-sewa/,"Anggota polis tak hadir bertugas, ditemui meninggal di rumah sewa",NASIONAL,"16 April 2025, 01:49PM","KAJANG: Seorang anggota polis ditemukan meninggal dunia di kediaman sewanya di sebuah pangsapuri di Bandar Mahkota Cheras, di sini, semalam.
Mayat anggota berpangkat lans koperal berusia 37 tahun dari Pasukan Simpanan Persekutuan (FRU) itu ditemui rakan setugas selepas dikatakan tidak hadir bekerja.
Ketua Polis Daerah Kajang, Asisten Komisioner Naazron Abdul Yusof berkata, pihaknya menerima maklumat itu daripada anggota polis yang juga rakan setugasnya berusia 20 tahun pada jam 11.59 pagi.
“Pihak Jabatan Bomba dan Penyelamat Malaysia (JBPM) dipanggil ke lokasi bagi bantuan membuka pintu rumah.
“Hasil pemeriksaan menemukan anggota itu tidak sedarkan diri dan disahkan meninggal dunia oleh pihak perubatan Hospital Kajang yang tiba di lokasi,” katanya dalam kenyataan hari ini.
Beliau berkata, mayat dihantar ke Hospital Kajang untuk bedah siasat dan punca kematiannya disebabkan saluran jantung tersumbat.
Katanya, kes diklasifikasikan sebagai kematian mengejut (SDR).
Beliau meminta orang ramai yang mempunyai maklumat mengenai kes itu untuk menyalurkannya dengan menghubungi Pegawai Penyiasat, Zharif Shah Ab Rashid di talian 012-5925390 atau tampil ke Balai Polis Kajang untuk membantu siasatan.
Ikuti sekarang! WhatsApp Channel rasmi Buletin TV3 untuk berita terkini setiap masa."
https://www.buletintv3.my/nasional/siasatan-habuan-rm10-juta-untuk-pegawai-imigresen-di-klia/,Siasatan habuan RM10 juta untuk pegawai imigresen di KLIA,NASIONAL,"16 April 2025, 01:45PM","Oleh: Fazli Ahmad
KUANTAN: Seorang bekas pegawai Jabatan Imigresen Malaysia (JIM) ditahan untuk membantu siasatan kes membawa masuk warga asing melalui Lapangan Terbang Antarabangsa Kuala Lumpur (KLIA) tanpa prosedur ditetapkan membabitkan habuan lebih RM10 juta.
Suspek dicekup di rumahnya di Temerloh, malam tadi, selepas isterinya yang juga pegawai imigresen bertugas di KLIA ditahan Suruhanjaya Pencegahan Rasuah Malaysia (SPRM) kelmarin.
Kira-kira jam sembilan pagi tadi, lelaki berusia 50 tahun terbabit dibawa ke Mahkamah Majistret Kuantan untuk proses tahanan reman.
Majistret Nur Izzati Zakaria, membenarkan SPRM menahan suspek selama seminggu hingga 22 April.
Difahamkan lelaki terbabit bersara pada 1 Januari 2024 dan kes disiasat ketika dia bertugas sebagai pegawai imigresen di KLIA.
Pengarah SPRM Pahang, Mohd Shukor Mahmud mengesahkan penahanan lelaki terbabit.
Katanya kes disiasat mengikut seksyen 17(a) Akta SPRM 2009.
Kelmarin, tiga pegawai imigresen termasuk seorang wanita berusia 40-an ditahan kerana disyaki bersekongkol dengan sindiket membawa masuk warga asing tanpa prosedur ditetapkan pihak berkuasa.
Kegiatan itu dipercayai didalangi satu sindiket dan sudah menawarkan habuan lebih RM10 juta kepada pegawai imigresen bertugas di KLIA.
Kegiatan itu dipercayai berlaku antara 2021 dan 2024.
SPRM Pahang sedang menyiasat kes itu dan dijangka lebih ramai suspek membabitkan pegawai imigresen ditahan.
Ikuti sekarang! WhatsApp Channel rasmi Buletin TV3 untuk berita terkini setiap masa."
https://www.buletintv3.my/nasional/bila-tengok-wajah-pak-lah-terus-teringat-arwah-ayah/,"“Bila tengok wajah Pak Lah, terus teringat arwah ayah…”",NASIONAL,"16 April 2025, 01:01PM","Oleh: Farah Nabilah Wazer

KUALA LUMPUR: Itu luahan Hasnah Samad Omar, 72, yang sanggup memandu sendiri dari Slim River, Perak, demi memberikan penghormatan terakhir kepada Allahyarham Tun Abdullah Ahmad Badawi di Makam Pahlawan, Masjid Negara.

“Pak Lah selalu pesan, kerja kena jujur, bantu orang, terutamanya penjawat awam. Macam seorang bapa yang menasihati anak. Dia bukan sekadar pemimpin, tapi figura penting negara,” katanya, sebak.

Dia yang pernah berkhidmat sebagai penjawat awam di Kuala Lumpur dari tahun 1971 hingga 2003 berkata, keperibadian Allahyarham sangat dekat di hatinya, terutamanya sebagai bekas kakitangan kerajaan.

“Semalam saya sudah sampai, tapi terlalu ramai orang. Saya berjanji pada diri sendiri, hari ini saya mesti datang,” katanya yang kini menetap di Slim River selepas bersara.

Hasnah kerap datang ke ibu kota setiap minggu untuk meluangkan masa bersama anaknya yang menetap di Taman Sri Gombak, di sini dan bercadang untuk kembali menziarahi makam Allahyarham dalam masa terdekat sebagai tanda penghormatan.

Hasnah antara orang awam yang hadir menziarahi pusara Allahyarham Tun Abdullah di Makam Pahlawan, Masjid Negara, pagi tadi.
Ikuti sekarang! WhatsApp Channel rasmi Buletin TV3 untuk berita terkini setiap masa."
https://www.buletintv3.my/nasional/14-individu-terbabit-kes-borang-daftar-kelahiran-palsu-direman-sprm/,14 individu terbabit kes borang daftar kelahiran palsu direman – SPRM,NASIONAL,"16 April 2025, 12:23PM","SHAH ALAM: Seramai 14 individu, termasuk tiga wanita, direman lima hari bermula hari ini, oleh Mahkamah Majistret di sini, bagi membantu siasatan kes mengemukakan borang daftar kelahiran palsu.
Perintah reman sehingga 20 April ini dibenarkan Majistret Ameera Mastura Khamis terhadap kesemua individu berusia 28 hingga 49 tahun.
Permohonan dibuat Timbalan Pendakwa Raya Suruhanjaya Pencegahan Rasuah Malaysia (SPRM) Muaz Ahmad Khairuddin dan Pegawai Pendakwa SPRM Muhammad Arif Asyraf Mohd Khairi.
Menurut sumber, kesemua individu itu ditahan jam 12.30 tengah hari hingga jam 6.30 petang di pejabat SPRM Selangor.
Tambahnya, siasatan mendapati, mereka sudah membuat permohonan kad pengenalan dan sijil kelahiran anak kepada Jabatan Pendaftaran Negara (JPN).
“Ini dibuat menerusi Borang Daftar Kelahiran yang mengandungi butiran matan palsu berkenaan pengesahan kelahiran bayi-bayi sedangkan tiada rekod kelahiran bayi terbabit di hospital-hospital terlibat.
“Mereka melakukan perbuatan itu sejak 2015 hingga 2023,” katanya.
Terdahulu, kesemua individu itu tiba di pekarangan bangunan Mahkamah Sultan Salahuddin Abdul Aziz Shah, Shah Alam, dengan kenderaan SPRM, 9.11 pagi.
Sementara itu, Pengarah SPRM Selangor Hairuzam Mohmad Amin @ Hamim mengesahkan perkara berkenaan dan kes disiasat mengikut Seksyen 18 Akta SPRM 2009.
Media pada 12 Mac lalu melaporkan, SPRM menahan 16 individu kerana disyaki terbabit dalam rasuah pendaftaran lewat kelahiran bertaraf bukan warga negara kepada warga negara dan pendaftaran kelahiran menggunakan dokumen sokongan palsu.
Timbalan Ketua Pesuruhjaya (Operasi) SPRM Datuk Seri Ahmad Khusairi Yahaya dipetik berkata, kesemua suspek berusia 20-an hingga 70-an ditahan menerusi Op Outlander dan Op Birth ke atas beberapa premis termasuk klinik dan firma guaman sekitar Lembah Klang dan Johor.
Beliau berkata, serbuan itu dibuat hasil risikan kira-kira setahun dengan kerjasama dan perkongsian maklumat di antara SPRM serta JPN.
Ikuti sekarang! WhatsApp Channel rasmi Buletin TV3 untuk berita terkini setiap masa."
https://www.buletintv3.my/nasional/penduduk-gempar-jumpa-bangkai-gajah-mati-beranak/,Penduduk gempar jumpa bangkai gajah mati beranak,NASIONAL,"16 April 2025, 11:24AM","KLUANG: Penduduk di Kampung Contoh, Kahang di sini digemparkan dengan penemuan bangkai seekor gajah betina dipercayai mati beranak dekat ladang kelapa sawit, semalam.
Pengerusi Jawatankuasa Kesihatan dan Alam Sekitar negeri Ling Tian Soon berkata, pihaknya menerima aduan penemuan berkenaan pada 2.30 petang.
Katanya, pemeriksaan anggota Jabatan Perlindungan Hidupan Liar dan Taman Negara (Perhilitan) Johor mendapati tiada kecederaan fizikal pada bangkai gajah berkenaan.
“Turut ditemukan bangkai seekor anak gajah berhampiran bangkai gajah betina dewasa terbabit.
“Gajah berkenaan dipercayai mengalami kesukaran untuk melahirkan anak dalam kandungannya. Gajah itu dipercayai terpisah daripada kumpulan gajah dari Bandar Tenggara,” katanya ketika dihubungi, hari ini.
Katanya, bangkai kedua-dua gajah itu akan ditanam selepas pengambilan sampel dilakukan bagi mengenal pasti punca kematian, hari ini.
Ikuti sekarang! WhatsApp Channel rasmi Buletin TV3 untuk berita terkini setiap masa."
https://www.buletintv3.my/nasional/wanita-menari-separuh-bogel-cemar-imej-batu-feringghi/,Wanita menari separuh bogel cemar imej Batu Feringghi,NASIONAL,"16 April 2025, 11:08AM","GEORGE TOWN: Kariah Masjid Jamek Ar-Rahman, Batu Feringghi, di sini, kesal dengan video tular memaparkan beberapa wanita menari separuh bogel dan mencolok mata dipercayai ketika Pesta Songkran, baru-baru ini.
Pengerusinya Ismail Din berkata, pihaknya menerima maklumat mengenai video kejadian berkenaan didakwa berlaku di Batu Feringghi apabila tular di media sosial pada Ahad lalu.
“Kami hanya tahu mengenainya selepas video berkenaan tular, yang memaparkan aktiviti tarian separuh bogel, mencolok mata oleh beberapa wanita di tingkat atas sebuah restoran.
“Ia jelas sekali menunjukkan aktiviti tidak senonoh dan menjelekkan,” katanya ketika dihubungi, di sini, hari ini.
Katanya, penganjuran aktiviti berkenaan adalah amat tidak bermoral dan pihaknya mengutuk sekeras-kerasnya perbuatan itu kerana tidak sensitif dan mencemar imej pantai Batu Feringghi yang menjadi tumpuan awam.
“Kami menyarankan pihak berkuasa yang terbabit melihat dengan lebih teliti permohonan permit sebelum memberi kebenaran bagi mengelakkan aktiviti seperti ini berulang di masa hadapan kerana menggugat sensitiviti masyarakat Islam di sini,” katanya.
Terdahulu, tular video berdurasi 37 saat itu memaparkan beberapa wanita berpakaian mencolok mata menari di restoran terbabit.
Ia mendapat pelbagai reaksi warganet berikutan lokasi penganjuran aktiviti itu yang terletak kira-kira 50 meter daripada masjid.
Ikuti sekarang! WhatsApp Channel rasmi Buletin TV3 untuk berita terkini setiap masa."
https://www.buletintv3.my/nasional/kilang-pembuatan-plastik-musnah-terbakar/,Kilang Pembuatan Plastik musnah terbakar,NASIONAL,"16 April 2025, 11:02AM","KUCHING: Anggota Bomba terpaksa bertungkus lumus lebih lapan jam memadam sepenuhnya kebakaran sebuah kilang pembuatan plastik jalan Kong Ping, off Jalan Penrissen, di sini, malam tadi.
Kejadian itu disedari sekitar jam 9.50 malam sebelum panggilan kecemasan dibuat untuk meminta bantuan mengawal kebakaran terbabit.
Jurucakap Pusat Gerakan Operasi Bomba Sarawak berkata, seramai 24 anggota dari Balai Bomba dan Penyelamat (BBP) Batu Lintang, BBP Padungan, BBP Tabuan Jaya bersama dua jentera dan lori pengangkut air untuk ke lokasi kejadian.
“Anggota terlibat mengambil masa kira-kira 45 minit untuk mengawal kebakaran kilang terbabit.
“Bagaimanapun anggota terlibat memerlukan lebih tujuh jam untuk memadamkan bara api yang masih terdapat di kawasan kilang terbabit bagi memastikan tiada punca api yang boleh mengakibatkan kebakaran berulang,” katanya menerusi satu kenyataan.
Beliau berkata, proses pemadaman kebakaran itu turut dilakukan menggunakan sumber air terbuka selain bantuan dari lori tangki Jabatan Bomba dan Penyelamat Malaysia (JBPM).
Turut digunakan Jengkaut dari kilang berdekatan bagi mengalihkan sisa struktur yang berat bagi tujuan pemadaman kebakaran.
Kebakaran itu memusnahkan sepenuhnya struktur kilang seluas 15,300 kaki persegi itu.
Bagaimanapun tiada kemalangan jiwa atau kecederaan dilaporkan dalam kejadian berkenaan.
Punca kebakaran dan jumlah kerugian terlibat masih dalam siasatan.
Ikuti sekarang! WhatsApp Channel rasmi Buletin TV3 untuk berita terkini setiap masa."
